time,gFx,gFy,gFz,TgF
0.243000,0.0056,1.0007,0.0125,1.001
0.245000,0.0051,1.0012,0.0100,1.001
0.247000,0.0059,1.0019,0.0095,1.002
0.249000,0.0056,1.0010,0.0134,1.001
0.253000,0.0073,1.0019,0.0129,1.002
0.254000,0.0068,1.0005,0.0173,1.001
0.256000,0.0061,1.0027,0.0208,1.003
0.258000,0.0049,1.0017,0.0227,1.002
0.260000,0.0049,1.0000,0.0254,1.000
0.262000,0.0046,1.0000,0.0264,1.000
0.263000,0.0054,1.0007,0.0259,1.001
0.265000,0.0046,1.0002,0.0276,1.001
0.278000,0.0049,0.9990,0.0274,0.999
0.279000,0.0046,0.9990,0.0261,0.999
0.279000,0.0051,0.9992,0.0227,1.000
0.279000,0.0046,0.9992,0.0217,0.999
0.280000,0.0046,1.0007,0.0181,1.001
0.280000,0.0046,0.9988,0.0173,0.999
0.280000,0.0049,1.0010,0.0129,1.001
0.282000,0.0049,1.0022,0.0134,1.002
0.312000,0.0059,1.0029,0.0144,1.003
0.313000,0.0046,1.0010,0.0149,1.001
0.313000,0.0054,1.0014,0.0161,1.002
0.314000,0.0056,1.0010,0.0195,1.001
0.314000,0.0061,1.0022,0.0208,1.002
0.314000,0.0076,1.0027,0.0210,1.003
0.315000,0.0049,1.0012,0.0237,1.001
0.315000,0.0049,1.0010,0.0237,1.001
0.315000,0.0051,1.0017,0.0249,1.002
0.316000,0.0049,1.0005,0.0205,1.001
0.316000,0.0054,1.0010,0.0205,1.001
0.316000,0.0051,1.0017,0.0183,1.002
0.317000,0.0049,1.0010,0.0161,1.001
0.317000,0.0056,1.0002,0.0166,1.000
0.317000,0.0051,1.0012,0.0132,1.001
0.318000,0.0046,1.0014,0.0147,1.002
0.318000,0.0049,1.0019,0.0129,1.002
0.318000,0.0061,1.0022,0.0156,1.002
0.319000,0.0056,1.0012,0.0139,1.001
0.325000,0.0049,1.0022,0.0144,1.002
0.326000,0.0059,1.0014,0.0151,1.002
0.327000,0.0051,1.0010,0.0171,1.001
0.328000,0.0056,0.9992,0.0161,0.999
0.329000,0.0046,0.9997,0.0181,1.000
0.331000,0.0049,0.9975,0.0186,0.998
0.336000,0.0051,1.0010,0.0205,1.001
0.336000,0.0059,1.0005,0.0220,1.001
0.337000,0.0061,1.0012,0.0205,1.001
0.339000,0.0046,1.0007,0.0213,1.001
0.341000,0.0049,0.9997,0.0217,1.000
0.343000,0.0056,1.0024,0.0215,1.003
0.345000,0.0054,1.0029,0.0215,1.003
0.347000,0.0049,1.0022,0.0195,1.002
0.349000,0.0054,1.0022,0.0195,1.002
0.352000,0.0049,1.0014,0.0198,1.002
0.354000,0.0061,1.0022,0.0188,1.002
0.356000,0.0081,1.0022,0.0178,1.002
0.358000,0.0071,1.0017,0.0188,1.002
0.359000,0.0046,1.0010,0.0173,1.001
0.361000,0.0046,1.0007,0.0188,1.001
0.363000,0.0042,0.9995,0.0183,1.000
0.365000,0.0046,0.9997,0.0195,1.000
0.369000,0.0054,1.0019,0.0203,1.002
0.371000,0.0056,1.0012,0.0198,1.001
0.372000,0.0056,1.0022,0.0225,1.002
0.374000,0.0054,1.0024,0.0215,1.003
0.376000,0.0051,1.0017,0.0191,1.002
0.378000,0.0049,1.0022,0.0203,1.002
0.402000,0.0054,1.0029,0.0203,1.003
0.403000,0.0046,1.0041,0.0208,1.004
0.403000,0.0064,1.0027,0.0188,1.003
0.403000,0.0044,1.0010,0.0178,1.001
0.404000,0.0046,1.0002,0.0178,1.000
0.404000,0.0044,1.0007,0.0173,1.001
0.405000,0.0046,1.0007,0.0198,1.001
0.405000,0.0049,1.0005,0.0200,1.001
0.405000,0.0046,1.0007,0.0205,1.001
0.406000,0.0054,1.0012,0.0222,1.001
0.406000,0.0046,1.0017,0.0198,1.002
0.407000,0.0051,1.0007,0.0193,1.001
0.407000,0.0051,1.0017,0.0198,1.002
0.408000,0.0051,1.0010,0.0154,1.001
0.408000,0.0076,0.9980,0.0151,0.998
0.429000,0.0056,0.9990,0.0156,0.999
0.429000,0.0049,0.9988,0.0181,0.999
0.430000,0.0051,0.9992,0.0193,0.999
0.430000,0.0044,1.0002,0.0225,1.000
0.430000,0.0044,1.0002,0.0225,1.000
0.431000,0.0046,1.0002,0.0242,1.001
0.431000,0.0046,1.0000,0.0232,1.000
0.431000,0.0046,0.9983,0.0232,0.999
0.431000,0.0051,1.0002,0.0232,1.001
0.432000,0.0046,1.0005,0.0210,1.001
0.432000,0.0044,1.0014,0.0208,1.002
0.432000,0.0046,1.0022,0.0181,1.002
0.433000,0.0046,1.0007,0.0176,1.001
0.435000,0.0049,1.0000,0.0166,1.000
0.437000,0.0051,1.0000,0.0154,1.000
0.439000,0.0061,1.0000,0.0161,1.000
0.441000,0.0066,0.9992,0.0171,0.999
0.443000,0.0056,0.9997,0.0154,1.000
0.445000,0.0049,1.0002,0.0149,1.000
0.447000,0.0064,1.0007,0.0173,1.001
0.449000,0.0049,0.9997,0.0171,1.000
0.452000,0.0049,1.0002,0.0198,1.000
0.453000,0.0054,1.0044,0.0195,1.005
0.455000,0.0061,1.0014,0.0193,1.002
0.457000,0.0068,1.0017,0.0191,1.002
0.459000,0.0068,1.0017,0.0195,1.002
0.461000,0.0056,1.0007,0.0176,1.001
0.462000,0.0054,1.0010,0.0173,1.001
0.465000,0.0056,1.0000,0.0178,1.000
0.467000,0.0054,1.0014,0.0178,1.002
0.479000,0.0054,0.9990,0.0173,0.999
0.480000,0.0056,0.9992,0.0181,0.999
0.481000,0.0056,0.9995,0.0166,1.000
0.482000,0.0056,0.9997,0.0154,1.000
0.482000,0.0064,1.0017,0.0173,1.002
0.484000,0.0059,1.0005,0.0176,1.001
0.485000,0.0046,1.0002,0.0186,1.000
0.486000,0.0059,1.0010,0.0164,1.001
0.486000,0.0051,0.9985,0.0156,0.999
0.510000,0.0071,0.9980,0.0156,0.998
0.511000,0.0059,0.9978,0.0191,0.998
0.512000,0.0064,0.9997,0.0176,1.000
0.512000,0.0068,0.9995,0.0183,1.000
0.514000,0.0066,1.0014,0.0203,1.002
0.514000,0.0066,1.0017,0.0222,1.002
