time,gFx,gFy,gFz,TgF
0.003,0.0046,0.9941,-0.31560000000000005,1.003
0.004,0.0039,0.9936,-0.3142,1.003
0.005,0.0034,0.9956,-0.31880000000000003,1.004
0.006,0.0044,0.9931,-0.3252,1.001
0.007,0.0044,0.9936,-0.3322,1.001
0.008,0.0046,0.9963,-0.33570000000000005,1.003
0.01,0.0039,0.9931,-0.33760000000000007,0.9990000000000001
0.011,0.0046,0.9931,-0.3364,1.0
0.012,0.0037,0.9931,-0.3322,1.0
0.029,0.0022,0.9929,-0.3303,1.0
0.03,0.0029,0.9934,-0.3225,1.002
0.058,0.0046,0.9941,-0.3286,1.002
0.059,0.0046,0.9931,-0.33590000000000003,1.0
0.06,-0.0105,1.0058,-0.34149999999999997,1.012
0.065,-0.0107,1.0066,-0.30850000000000005,1.0170000000000001
0.066,0.0044,1.0044,-0.33370000000000005,1.011
0.076,0.0117,0.9834,-0.34249999999999997,0.9890000000000001
0.077,0.001,0.9892,-0.35300000000000004,0.9940000000000001
0.078,0.0125,0.9983,-0.3848,1.0
0.079,0.0064,0.9953,-0.36690000000000006,0.9990000000000001
0.08,0.0042,0.9924,-0.3574,0.997
0.082,0.0034,0.9902,-0.3413,0.996
0.094,0.0064,0.9931,-0.33180000000000004,1.0
0.095,0.0046,0.9951,-0.31370000000000003,1.004
0.096,0.0037,0.9939,-0.291,1.0070000000000001
0.099,0.0034,0.9958,-0.3019,1.0070000000000001
0.127,0.0027,0.9992,-0.3112,1.0090000000000001
0.128,0.0054,0.9944,-0.3252,1.002
0.129,0.0046,0.9919,-0.3533,0.997
0.13,0.0071,0.9929,-0.3564,0.997
0.131,0.0046,0.9919,-0.3315000000000001,0.9990000000000001
0.132,0.0034,0.997,-0.3105,1.0070000000000001
0.135,0.0024,0.9929,-0.30660000000000004,1.003
0.137,0.0005,0.9929,-0.3073,1.003
0.138,0.002,0.9936,-0.3103,1.003
0.141,0.0022,0.9951,-0.3164,1.004
0.142,0.0046,0.9951,-0.3215,1.003
0.144,0.0042,0.9934,-0.3264,1.001
0.146,0.0042,0.9912,-0.3361,0.998
0.148,0.0044,0.9929,-0.3401,0.9990000000000001
0.153,0.0046,0.9929,-0.3471,0.998
0.154,0.0054,0.9946,-0.35200000000000004,0.9990000000000001
0.156,0.0061,0.9966,-0.3513,1.001
0.159,0.0064,0.9956,-0.3484,1.001
0.16,0.0056,0.9939,-0.3442,0.9990000000000001
0.162,0.0046,0.9941,-0.3371,1.001
0.164,0.0046,0.9929,-0.33080000000000004,1.0
0.166,0.0039,0.9953,-0.3256,1.003
0.169,0.0034,0.9953,-0.31760000000000005,1.004
0.171,0.0039,0.9961,-0.31560000000000005,1.005
0.172,0.0027,0.9941,-0.3122,1.004
0.174,0.0015,0.9956,-0.3129,1.005
0.176,0.002,0.997,-0.3144,1.006
0.178,0.002,0.9961,-0.3164,1.005
0.18,0.0022,0.9946,-0.31760000000000005,1.003
0.182,0.002,0.9946,-0.3234,1.003
0.186,0.0012,0.9939,-0.3261,1.002
0.187,0.0027,0.9956,-0.33370000000000005,1.002
0.189,0.0029,0.9941,-0.34269999999999995,1.0
0.192,0.0029,0.9941,-0.34269999999999995,1.0
0.193,0.0029,0.9939,-0.3454,0.9990000000000001
0.194,0.0015,0.9941,-0.34590000000000004,1.0
0.197,0.002,0.9934,-0.3464,0.9990000000000001
0.198,0.002,0.9922,-0.34400000000000003,0.998
0.213,0.0012,0.9944,-0.3432,1.0
0.214,0.0002,0.9936,-0.3383,1.0
0.215,-0.0017,0.9929,-0.33049999999999996,1.0
0.216,-0.0034,0.9948,-0.3274,1.002
0.217,-0.0024,0.9936,-0.323,1.002
0.219,-0.001,0.9941,-0.3193,1.003
0.22,-0.0007,0.9953,-0.3159,1.004
0.222,-0.002,0.9931,-0.3161,1.002
0.223,-0.0015,0.9939,-0.31860000000000005,1.003
0.226,-0.0012,0.9941,-0.322,1.002
0.251,-0.0015,0.9948,-0.3242,1.003
0.252,-0.0017,0.9941,-0.3281,1.002
0.253,-0.0005,0.9929,-0.33590000000000003,0.9990000000000001
0.254,0.0037,0.9951,-0.34370000000000006,1.001
0.256,0.0032,0.9958,-0.34349999999999997,1.002
0.257,0.0029,0.9934,-0.3374,1.0
0.258,0.0032,0.9951,-0.33470000000000005,1.002
0.259,0.002,0.9948,-0.3252,1.003
0.26,0.0024,0.9914,-0.32170000000000004,1.0
0.261,0.0039,0.9936,-0.3225,1.002
0.264,0.0029,0.9936,-0.3261,1.001
0.265,0.0042,0.9934,-0.3286,1.001
0.266,0.0044,0.9929,-0.3322,1.0
0.278,0.0049,0.9939,-0.3344,1.001
0.279,0.0051,0.9956,-0.33490000000000003,1.002
0.28,0.0068,0.9931,-0.33690000000000003,1.0
0.282,0.0051,0.9912,-0.3293,0.9990000000000001
0.3,0.0056,0.9929,-0.3276,1.0
0.301,0.0054,0.9956,-0.3254,1.003
0.302,0.0064,0.9948,-0.32170000000000004,1.003
0.327,0.0046,0.9939,-0.3242,1.002
0.328,0.0049,0.9931,-0.33049999999999996,1.0
0.329,0.0042,0.9956,-0.3354,1.002
0.33,0.0044,0.9931,-0.3274,1.001
0.335,0.0046,0.9934,-0.3274,1.001
0.337,0.0046,0.9934,-0.3261,1.001
0.338,0.0044,0.9922,-0.3252,1.0
0.339,0.0032,0.9902,-0.3244,0.998
0.341,0.0042,0.9917,-0.3254,0.9990000000000001
0.343,0.0034,0.9919,-0.3259,1.0
0.344,0.0039,0.9931,-0.3296,1.0
0.347,0.0042,0.9934,-0.33049999999999996,1.001
0.349,0.0039,0.9939,-0.33180000000000004,1.001
0.351,0.0034,0.9924,-0.333,0.9990000000000001
0.352,0.0039,0.9917,-0.33349999999999996,0.9990000000000001
0.356,0.0034,0.9931,-0.3344,1.0
0.357,0.0032,0.9951,-0.3352,1.002
0.358,0.0046,0.9948,-0.33180000000000004,1.002
0.36,0.0042,0.9929,-0.33249999999999996,1.0
0.362,0.0042,0.9926,-0.331,1.0
0.364,0.0037,0.9924,-0.32980000000000004,1.0
0.366,0.0044,0.9917,-0.33,0.9990000000000001
0.372,0.0042,0.9956,-0.3264,1.003
0.373,0.0044,0.9944,-0.3259,1.002
0.374,0.0044,0.9946,-0.3256,1.002
0.376,0.0044,0.9929,-0.3261,1.001
0.378,0.0044,0.9934,-0.3264,1.001
0.38,0.0044,0.9939,-0.32780000000000004,1.001
0.382,0.0044,0.9953,-0.3283,1.003
0.397,0.0042,0.9941,-0.3315000000000001,1.001
0.398,0.0044,0.9914,-0.333,0.998
0.399,0.0054,0.9956,-0.334,1.002
0.4,0.0059,0.9944,-0.33249999999999996,1.001
0.429,0.0049,0.9946,-0.3315000000000001,1.002
0.43,0.0046,0.9929,-0.3293,1.0
0.431,0.0051,0.9961,-0.3271,1.004
0.432,0.0046,0.9946,-0.3261,1.002
0.433,0.0049,0.9958,-0.3286,1.003
0.434,0.0042,0.9914,-0.3313,0.9990000000000001
0.441,0.0037,0.9907,-0.333,0.998
0.442,0.0046,0.9919,-0.3313,0.9990000000000001
0.443,0.0044,0.9909,-0.32980000000000004,0.998
0.445,0.0032,0.9926,-0.33180000000000004,1.0
0.447,0.0037,0.9941,-0.33,1.001
0.449,0.0027,0.9944,-0.33,1.002
0.451,0.0046,0.9941,-0.3281,1.002
0.454,0.0042,0.9946,-0.3286,1.002
0.456,0.0046,0.9936,-0.3286,1.001
0.458,0.0046,0.9951,-0.3291,1.002
0.461,0.0046,0.9941,-0.3286,1.002
0.462,0.0042,0.9941,-0.3274,1.002
0.464,0.0044,0.9958,-0.3296,1.003
0.467,0.0042,0.9931,-0.33049999999999996,1.0
0.471,0.0032,0.9931,-0.332,1.0
0.473,0.0042,0.9931,-0.33349999999999996,1.0
0.476,0.0042,0.9936,-0.33180000000000004,1.001
0.477,0.0046,0.9936,-0.33270000000000005,1.001
0.479,0.0046,0.9919,-0.3313,0.9990000000000001
0.48,0.0061,0.9936,-0.3293,1.001
