time,gFx,gFy,gFz,TgF
0.003,0.0161,0.9966,-0.4241,0.997
0.004,0.0181,0.9966,-0.41209999999999997,0.997
0.005,0.0178,0.9963,-0.4055,0.997
0.006,0.0154,0.9939,-0.3796,0.996
0.007,0.0166,0.9958,-0.35890000000000005,1.0
0.008,0.0142,0.9968,-0.3364,1.003
0.009,0.012,0.9936,-0.31729999999999997,1.003
0.01,0.0112,0.9926,-0.30050000000000004,1.004
0.011,0.0127,0.9917,-0.2817,1.006
0.012,0.0125,0.9914,-0.277,1.006
0.024,0.0115,0.9929,-0.2717,1.0090000000000001
0.025,0.0107,0.9924,-0.2675,1.0090000000000001
0.026,0.0139,0.9902,-0.2604,1.008
0.057,0.0132,0.9912,-0.2607,1.0090000000000001
0.058,0.0115,0.9919,-0.26330000000000003,1.0090000000000001
0.059,0.0132,0.9914,-0.2785,1.006
0.06,0.0134,0.9929,-0.2997,1.004
0.061,0.0147,0.9936,-0.3313,1.001
0.062,0.0164,0.9948,-0.36200000000000004,0.9990000000000001
0.065,0.0164,0.9953,-0.38310000000000005,0.998
0.066,0.0159,0.9961,-0.38920000000000005,0.998
0.068,0.0186,0.9963,-0.39599999999999996,0.998
0.07,0.0188,0.9966,-0.3989,0.998
0.077,0.0193,0.9948,-0.4019,0.996
0.078,0.0176,0.9931,-0.4028,0.9940000000000001
0.08,0.0191,0.9929,-0.40409999999999996,0.9940000000000001
0.082,0.0191,0.9929,-0.40109999999999996,0.9940000000000001
0.084,0.0203,0.9941,-0.39820000000000005,0.996
0.086,0.0183,0.9936,-0.39499999999999996,0.995
0.097,0.0188,0.9951,-0.3904,0.997
0.098,0.0188,0.9939,-0.38699999999999996,0.996
0.099,0.0156,0.9934,-0.36910000000000004,0.997
0.1,0.0161,0.9951,-0.35790000000000005,0.9990000000000001
0.102,0.0186,0.9939,-0.34980000000000006,0.9990000000000001
0.134,0.0173,0.9948,-0.34180000000000005,1.001
0.136,0.0178,0.9936,-0.3381,1.0
0.138,0.0188,0.9948,-0.331,1.002
0.139,0.0188,0.9939,-0.3193,1.003
0.14,0.0159,0.9926,-0.3068,1.003
0.141,0.0164,0.9929,-0.3012,1.004
0.142,0.0169,0.9917,-0.298,1.003
