time,gFx,gFy,gFz,TgF
0.003000,0.0142,1.0036,-0.1940,1.022
0.004000,0.0147,1.0032,-0.1815,1.020
0.004000,0.0139,1.0041,-0.1649,1.018
0.005000,0.0117,1.0027,-0.1564,1.015
0.005000,0.0066,1.0036,-0.1366,1.013
0.006000,0.0046,1.0041,-0.1119,1.010
0.006000,0.0042,1.0027,-0.1004,1.008
0.007000,0.0027,1.0012,-0.0765,1.004
0.007000,0.0005,1.0005,-0.0657,1.003
0.008000,0.0017,1.0010,-0.0420,1.002
0.010000,0.0046,1.0014,-0.0139,1.002
0.011000,0.0054,1.0005,-0.0039,1.000
0.012000,0.0081,1.0005,0.0247,1.001
0.012000,0.0090,0.9995,0.0364,1.000
0.012000,0.0081,0.9988,0.0633,1.001
0.018000,0.0064,0.9988,0.0892,1.003
0.019000,0.0046,0.9992,0.1021,1.004
0.019000,0.0037,0.9990,0.1241,1.007
0.020000,0.0020,0.9995,0.1459,1.010
0.022000,0.0012,1.0002,0.1551,1.012
0.023000,0.0005,1.0002,0.1713,1.015
0.027000,0.0005,1.0005,0.1805,1.017
0.044000,0.0044,0.9973,0.1969,1.017
0.044000,0.0042,0.9978,0.1991,1.017
0.045000,0.0049,0.9975,0.2042,1.018
0.045000,0.0056,0.9980,0.2084,1.020
0.046000,0.0066,1.0007,0.2079,1.022
0.046000,0.0056,0.9997,0.2077,1.021
0.047000,0.0049,0.9997,0.2025,1.020
0.047000,0.0046,0.9990,0.1994,1.019
0.068000,0.0042,0.9992,0.1911,1.017
0.068000,0.0046,0.9990,0.1779,1.015
0.069000,0.0037,1.0000,0.1700,1.014
0.069000,0.0032,1.0005,0.1532,1.012
0.069000,0.0032,1.0010,0.1432,1.011
0.070000,0.0044,0.9997,0.1224,1.007
0.070000,0.0039,1.0014,0.0989,1.006
0.071000,0.0044,1.0002,0.0887,1.004
0.071000,0.0044,0.9997,0.0633,1.002
0.071000,0.0046,1.0000,0.0508,1.001
0.072000,0.0049,0.9995,0.0252,1.000
0.072000,0.0056,1.0007,0.0012,1.001
0.073000,0.0056,1.0012,-0.0064,1.001
0.073000,0.0054,1.0000,-0.0335,1.001
0.073000,0.0059,1.0019,-0.0442,1.003
0.074000,0.0071,1.0019,-0.0679,1.004
0.077000,0.0073,1.0019,-0.0911,1.006
0.086000,0.0081,1.0022,-0.1024,1.007
0.087000,0.0076,1.0032,-0.1185,1.010
0.087000,0.0076,1.0051,-0.1336,1.014
0.088000,0.0061,1.0056,-0.1410,1.015
0.088000,0.0073,1.0034,-0.1549,1.015
0.090000,0.0078,1.0036,-0.1644,1.017
0.091000,0.0078,1.0054,-0.1671,1.019
0.104000,0.0081,1.0044,-0.1722,1.019
0.104000,0.0095,1.0041,-0.1747,1.019
0.105000,0.0083,1.0058,-0.1730,1.021
0.105000,0.0083,1.0041,-0.1720,1.019
0.105000,0.0105,1.0041,-0.1669,1.018
0.106000,0.0081,1.0044,-0.1590,1.017
0.106000,0.0081,1.0051,-0.1537,1.017
0.107000,0.0073,1.0051,-0.1380,1.015
0.108000,0.0073,1.0014,-0.1248,1.009
0.127000,0.0078,1.0032,-0.1163,1.010
0.127000,0.0059,1.0024,-0.0960,1.007
0.127000,0.0078,1.0032,-0.0858,1.007
0.127000,0.0083,1.0027,-0.0647,1.005
0.128000,0.0083,1.0019,-0.0425,1.003
0.128000,0.0071,1.0007,-0.0308,1.001
0.128000,0.0059,1.0019,-0.0064,1.002
0.128000,0.0064,1.0017,0.0022,1.002
0.128000,0.0054,1.0007,0.0249,1.001
0.129000,0.0056,1.0002,0.0484,1.001
0.135000,0.0046,0.9995,0.0589,1.001
0.135000,0.0039,0.9997,0.0814,1.003
0.135000,0.0044,0.9997,0.1011,1.005
0.136000,0.0042,0.9995,0.1095,1.005
0.138000,0.0032,0.9992,0.1295,1.008
0.140000,0.0046,0.9980,0.1361,1.007
0.142000,0.0037,0.9975,0.1498,1.009
0.146000,0.0044,0.9983,0.1605,1.011
0.146000,0.0042,0.9985,0.1656,1.012
0.149000,0.0046,0.9988,0.1779,1.014
0.151000,0.0046,0.9992,0.1779,1.015
0.152000,0.0044,0.9990,0.1823,1.015
0.154000,0.0039,0.9990,0.1818,1.015
0.155000,0.0044,0.9988,0.1813,1.015
0.158000,0.0046,0.9997,0.1781,1.015
0.163000,0.0039,1.0010,0.1696,1.015
0.164000,0.0042,1.0005,0.1652,1.014
0.164000,0.0044,0.9995,0.1549,1.011
0.166000,0.0046,1.0002,0.1488,1.011
0.168000,0.0046,0.9992,0.1339,1.008
0.170000,0.0046,0.9983,0.1156,1.005
0.172000,0.0054,1.0005,0.1063,1.006
0.173000,0.0046,1.0007,0.0867,1.004
0.176000,0.0049,0.9997,0.0772,1.003
0.179000,0.0046,1.0007,0.0574,1.002
0.181000,0.0046,1.0012,0.0366,1.002
0.182000,0.0056,1.0014,0.0252,1.002
0.184000,0.0054,1.0022,0.0017,1.002
0.186000,0.0059,0.9995,-0.0173,1.000
0.189000,0.0061,1.0005,-0.0286,1.001
0.190000,0.0046,1.0027,-0.0489,1.004
0.192000,0.0056,1.0012,-0.0591,1.003
