time,gFx,gFy,gFz,TgF
0.002000,-0.0027,0.9985,0.0972,1.003
0.002000,-0.0007,0.9966,0.1019,1.002
0.003000,-0.0015,0.9931,0.1033,0.998
0.003000,-0.0007,0.9934,0.1029,0.999
0.003000,-0.0010,0.9934,0.1016,0.999
0.003000,-0.0012,0.9929,0.1002,0.998
0.003000,-0.0010,0.9948,0.0989,1.000
0.013000,0.0007,0.9968,0.0943,1.001
0.014000,0.0027,0.9953,0.0945,1.000
0.014000,0.0010,0.9968,0.0904,1.001
0.014000,-0.0007,0.9985,0.0884,1.002
0.014000,-0.0017,0.9983,0.0882,1.002
0.015000,-0.0002,0.9963,0.0904,1.000
0.020000,0.0002,0.9968,0.0889,1.001
0.021000,0.0010,0.9978,0.0916,1.002
0.021000,0.0000,0.9963,0.0931,1.001
0.038000,0.0024,0.9963,0.0948,1.001
0.038000,0.0017,0.9956,0.0926,1.000
0.038000,0.0017,0.9953,0.0936,1.000
0.038000,0.0032,0.9953,0.0972,1.000
0.039000,0.0032,0.9963,0.0967,1.001
0.039000,0.0037,0.9958,0.0970,1.001
0.039000,0.0034,0.9988,0.0989,1.004
0.039000,0.0027,0.9988,0.0977,1.004
0.039000,0.0005,0.9978,0.0950,1.002
0.048000,-0.0002,0.9968,0.0924,1.001
0.049000,0.0012,0.9978,0.0936,1.002
0.049000,-0.0005,0.9985,0.0919,1.003
0.049000,-0.0012,0.9983,0.0897,1.002
0.049000,-0.0012,0.9978,0.0887,1.002
0.051000,0.0002,0.9970,0.0884,1.001
0.053000,0.0010,0.9978,0.0889,1.002
0.055000,-0.0002,0.9975,0.0882,1.001
0.062000,0.0010,0.9968,0.0904,1.001
0.063000,-0.0002,0.9983,0.0921,1.003
0.064000,-0.0015,0.9966,0.0926,1.001
0.065000,-0.0012,0.9966,0.0931,1.001
0.066000,-0.0007,0.9966,0.0948,1.001
0.067000,0.0002,0.9958,0.0963,1.000
0.069000,0.0002,0.9966,0.0977,1.001
0.071000,-0.0007,0.9968,0.0982,1.002
0.074000,0.0002,0.9968,0.0982,1.002
0.075000,-0.0010,0.9963,0.0970,1.001
0.077000,0.0005,0.9970,0.0955,1.002
0.079000,0.0017,0.9961,0.0943,1.001
0.081000,0.0029,0.9963,0.0916,1.001
0.084000,0.0000,0.9983,0.0904,1.002
0.085000,0.0000,0.9983,0.0897,1.002
0.087000,0.0010,0.9968,0.0921,1.001
0.090000,0.0017,0.9985,0.0911,1.003
0.091000,0.0002,0.9978,0.0921,1.002
0.098000,0.0007,0.9978,0.0919,1.002
0.099000,-0.0002,0.9995,0.0928,1.004
0.100000,0.0010,0.9966,0.0938,1.001
0.100000,0.0005,0.9956,0.0945,1.000
0.101000,0.0024,0.9963,0.0941,1.001
0.103000,0.0024,0.9948,0.0928,0.999
0.106000,0.0024,0.9948,0.0945,0.999
0.107000,0.0022,0.9931,0.0928,0.997
0.119000,0.0024,0.9961,0.0928,1.000
0.120000,0.0037,0.9956,0.0945,1.000
0.120000,0.0022,0.9934,0.0936,0.998
0.120000,0.0015,0.9936,0.0948,0.998
0.121000,0.0024,0.9948,0.0945,0.999
0.121000,0.0005,0.9939,0.0958,0.998
0.121000,-0.0002,0.9946,0.0948,0.999
0.123000,0.0000,0.9948,0.0928,0.999
0.126000,-0.0010,0.9946,0.0941,0.999
0.127000,0.0000,0.9946,0.0936,0.999
0.129000,0.0010,0.9956,0.0921,1.000
0.131000,0.0020,0.9953,0.0933,1.000
0.133000,0.0002,0.9939,0.0938,0.998
0.135000,-0.0020,0.9944,0.0955,0.999
0.137000,-0.0020,0.9956,0.0963,1.000
0.142000,-0.0002,0.9968,0.0982,1.002
0.142000,0.0010,0.9966,0.0967,1.001
0.144000,0.0000,0.9948,0.0963,0.999
0.146000,0.0015,0.9948,0.0943,0.999
0.148000,0.0005,0.9951,0.0945,1.000
0.150000,0.0010,0.9948,0.0950,0.999
0.151000,-0.0005,0.9966,0.0931,1.001
0.153000,-0.0012,0.9970,0.0938,1.001
0.155000,0.0010,0.9953,0.0924,1.000
0.158000,-0.0012,0.9978,0.0931,1.002
0.159000,0.0000,0.9970,0.0936,1.001
0.161000,-0.0010,0.9951,0.0938,1.000
0.163000,-0.0010,0.9963,0.0938,1.001
0.164000,0.0002,0.9961,0.0924,1.000
0.167000,0.0005,0.9966,0.0906,1.001
0.169000,-0.0012,0.9995,0.0914,1.004
0.170000,-0.0005,0.9985,0.0931,1.003
0.174000,0.0002,0.9980,0.0936,1.002
0.175000,0.0015,0.9961,0.0955,1.001
0.177000,0.0012,0.9961,0.0950,1.001
0.181000,0.0020,0.9944,0.0955,0.999
0.182000,0.0022,0.9953,0.0926,1.000
0.184000,0.0024,0.9963,0.0926,1.001
0.185000,0.0007,0.9973,0.0924,1.002
0.188000,0.0027,0.9958,0.0945,1.000
0.202000,0.0000,0.9958,0.0945,1.000
0.203000,-0.0002,0.9958,0.0938,1.000
0.203000,0.0005,0.9961,0.0924,1.000
0.204000,0.0007,0.9941,0.0933,0.998
0.206000,-0.0010,0.9939,0.0945,0.998
0.207000,-0.0007,0.9936,0.0955,0.998
0.209000,0.0005,0.9963,0.0948,1.001
0.210000,0.0007,0.9961,0.0958,1.001
0.211000,0.0007,0.9961,0.0958,1.001
0.212000,-0.0010,0.9934,0.0958,0.998
0.213000,0.0000,0.9939,0.0950,0.998
0.214000,-0.0005,0.9944,0.0933,0.999
0.215000,-0.0010,0.9926,0.0950,0.997
0.216000,-0.0010,0.9926,0.0953,0.997
0.218000,0.0002,0.9941,0.0955,0.999
0.232000,-0.0012,0.9951,0.0955,1.000
0.234000,-0.0012,0.9936,0.0958,0.998
0.235000,0.0017,0.9963,0.0936,1.001
0.236000,0.0002,0.9944,0.0933,0.999
0.238000,0.0012,0.9963,0.0928,1.001
0.239000,0.0007,0.9963,0.0936,1.001
0.240000,0.0022,0.9980,0.0909,1.002
0.241000,0.0010,0.9988,0.0924,1.003
0.242000,0.0000,0.9985,0.0924,1.003
0.243000,-0.0002,0.9975,0.0921,1.002
0.244000,-0.0005,0.9973,0.0928,1.002
0.244000,-0.0010,0.9978,0.0926,1.002
0.245000,-0.0017,0.9980,0.0936,1.002
0.246000,-0.0017,0.9975,0.0941,1.002
0.249000,0.0000,0.9975,0.0936,1.002
0.250000,0.0022,0.9968,0.0931,1.001
0.251000,0.0022,0.9963,0.0936,1.001
0.253000,0.0000,0.9953,0.0948,1.000
0.255000,-0.0002,0.9948,0.0953,0.999
0.258000,-0.0005,0.9931,0.0945,0.998
0.261000,0.0005,0.9956,0.0941,1.000
0.261000,0.0017,0.9936,0.0945,0.998
0.264000,-0.0002,0.9941,0.0938,0.999
0.266000,-0.0005,0.9944,0.0948,0.999
0.268000,-0.0010,0.9951,0.0943,1.000
0.269000,0.0005,0.9948,0.0950,0.999
0.271000,0.0000,0.9953,0.0960,1.000
0.284000,0.0002,0.9948,0.0945,0.999
0.285000,0.0002,0.9934,0.0945,0.998
0.285000,-0.0005,0.9948,0.0965,1.000
0.286000,0.0005,0.9944,0.0953,0.999
0.286000,0.0007,0.9926,0.0953,0.997
0.286000,0.0010,0.9946,0.0945,0.999
0.287000,-0.0005,0.9941,0.0950,0.999
0.287000,0.0000,0.9953,0.0945,1.000
0.293000,0.0005,0.9948,0.0948,0.999
0.293000,0.0000,0.9939,0.0950,0.998
0.293000,-0.0017,0.9936,0.0948,0.998
0.295000,-0.0005,0.9944,0.0945,0.999
0.297000,0.0005,0.9946,0.0953,0.999
0.299000,0.0024,0.9958,0.0928,1.000
0.301000,0.0022,0.9968,0.0931,1.001
