time,gFx,gFy,gFz,TgF
0.002000,-0.0120,1.0010,-0.0051,1.001
0.003000,-0.0098,1.0005,-0.0037,1.001
0.003000,-0.0054,1.0012,-0.0027,1.001
0.003000,-0.0044,1.0024,-0.0024,1.002
0.004000,-0.0051,1.0007,-0.0022,1.001
0.004000,-0.0061,1.0014,-0.0049,1.001
0.004000,-0.0093,1.0010,-0.0051,1.001
0.005000,-0.0083,1.0010,-0.0086,1.001
0.005000,-0.0083,1.0017,-0.0100,1.002
0.006000,-0.0076,1.0005,-0.0166,1.001
0.011000,-0.0090,1.0024,-0.0188,1.003
0.011000,-0.0088,1.0012,-0.0210,1.001
0.012000,-0.0088,1.0007,-0.0203,1.001
0.014000,-0.0081,1.0007,-0.0220,1.001
0.025000,-0.0083,1.0019,-0.0191,1.002
0.026000,-0.0064,1.0022,-0.0161,1.002
0.026000,-0.0059,1.0012,-0.0137,1.001
0.026000,-0.0073,1.0007,-0.0122,1.001
0.026000,-0.0083,1.0007,-0.0086,1.001
0.027000,-0.0083,1.0024,-0.0066,1.002
0.028000,-0.0088,0.9995,-0.0056,1.000
0.029000,-0.0059,0.9985,-0.0064,0.999
0.031000,-0.0073,1.0012,-0.0066,1.001
0.034000,-0.0076,1.0000,-0.0100,1.000
0.036000,-0.0064,1.0022,-0.0115,1.002
0.038000,-0.0068,1.0024,-0.0110,1.003
0.040000,-0.0086,1.0046,-0.0139,1.005
0.042000,-0.0068,1.0046,-0.0169,1.005
0.044000,-0.0078,1.0039,-0.0176,1.004
0.046000,-0.0073,1.0041,-0.0191,1.004
0.048000,-0.0083,1.0034,-0.0193,1.004
0.050000,-0.0103,1.0010,-0.0176,1.001
0.074000,-0.0088,1.0014,-0.0156,1.002
0.075000,-0.0086,1.0002,-0.0137,1.000
0.076000,-0.0100,1.0002,-0.0125,1.000
0.077000,-0.0098,1.0027,-0.0100,1.003
0.078000,-0.0090,1.0000,-0.0081,1.000
0.078000,-0.0090,1.0017,-0.0071,1.002
0.079000,-0.0073,1.0019,-0.0073,1.002
0.080000,-0.0064,1.0014,-0.0066,1.001
0.080000,-0.0078,1.0002,-0.0068,1.000
0.081000,-0.0081,1.0010,-0.0071,1.001
0.081000,-0.0073,1.0010,-0.0086,1.001
0.082000,-0.0088,1.0005,-0.0090,1.001
0.083000,-0.0078,1.0024,-0.0122,1.003
0.083000,-0.0078,1.0010,-0.0144,1.001
0.084000,-0.0088,0.9992,-0.0142,0.999
0.084000,-0.0088,0.9992,-0.0142,0.999
0.084000,-0.0073,0.9995,-0.0159,1.000
0.112000,-0.0068,1.0007,-0.0149,1.001
0.112000,-0.0083,1.0010,-0.0147,1.001
0.113000,-0.0073,1.0002,-0.0147,1.000
0.113000,-0.0073,1.0014,-0.0134,1.002
0.114000,-0.0056,1.0007,-0.0134,1.001
0.114000,-0.0056,1.0032,-0.0103,1.003
0.114000,-0.0046,1.0039,-0.0107,1.004
0.115000,-0.0054,1.0046,-0.0115,1.005
0.115000,-0.0034,1.0027,-0.0086,1.003
0.115000,-0.0037,1.0022,-0.0098,1.002
0.116000,-0.0049,1.0041,-0.0098,1.004
0.116000,-0.0044,1.0024,-0.0107,1.002
0.116000,-0.0044,1.0032,-0.0125,1.003
0.117000,-0.0054,1.0019,-0.0151,1.002
0.117000,-0.0054,1.0014,-0.0161,1.002
0.117000,-0.0051,1.0017,-0.0154,1.002
0.122000,-0.0056,1.0014,-0.0151,1.002
0.122000,-0.0068,1.0010,-0.0147,1.001
0.127000,-0.0083,1.0012,-0.0149,1.001
0.127000,-0.0078,0.9997,-0.0129,1.000
0.128000,-0.0081,1.0027,-0.0129,1.003
0.129000,-0.0086,1.0012,-0.0122,1.001
0.130000,-0.0073,1.0017,-0.0112,1.002
0.131000,-0.0071,1.0017,-0.0122,1.002
0.134000,-0.0090,1.0012,-0.0112,1.001
0.138000,-0.0081,1.0034,-0.0098,1.003
0.138000,-0.0073,1.0036,-0.0103,1.004
0.141000,-0.0078,1.0029,-0.0120,1.003
0.148000,-0.0083,1.0034,-0.0112,1.003
0.149000,-0.0081,1.0014,-0.0122,1.002
0.149000,-0.0078,1.0014,-0.0132,1.002
0.168000,-0.0088,1.0019,-0.0122,1.002
0.169000,-0.0083,1.0022,-0.0139,1.002
0.170000,-0.0086,1.0000,-0.0154,1.000
0.170000,-0.0088,1.0014,-0.0147,1.002
0.171000,-0.0078,1.0000,-0.0149,1.000
0.171000,-0.0083,0.9997,-0.0156,1.000
0.171000,-0.0078,1.0012,-0.0147,1.001
0.172000,-0.0076,1.0005,-0.0134,1.001
0.172000,-0.0068,1.0002,-0.0125,1.000
0.172000,-0.0076,1.0029,-0.0122,1.003
0.173000,-0.0061,1.0022,-0.0129,1.002
0.173000,-0.0071,0.9997,-0.0129,1.000
0.174000,-0.0068,1.0022,-0.0115,1.002
0.175000,-0.0086,1.0012,-0.0132,1.001
0.178000,-0.0076,1.0032,-0.0100,1.003
0.179000,-0.0061,1.0027,-0.0110,1.003
0.181000,-0.0051,1.0024,-0.0125,1.003
0.182000,-0.0056,1.0032,-0.0137,1.003
0.184000,-0.0059,1.0012,-0.0127,1.001
0.196000,-0.0068,1.0014,-0.0120,1.002
0.197000,-0.0078,1.0000,-0.0134,1.000
0.197000,-0.0081,0.9997,-0.0132,1.000
0.197000,-0.0090,1.0005,-0.0115,1.001
0.198000,-0.0083,1.0000,-0.0107,1.000
0.198000,-0.0090,1.0014,-0.0100,1.002
0.199000,-0.0073,1.0019,-0.0117,1.002
0.205000,-0.0066,1.0034,-0.0120,1.003
0.206000,-0.0066,1.0034,-0.0120,1.003
0.206000,-0.0059,1.0024,-0.0112,1.002
0.207000,-0.0051,1.0010,-0.0112,1.001
0.209000,-0.0054,1.0019,-0.0117,1.002
0.211000,-0.0068,1.0022,-0.0120,1.002
0.213000,-0.0059,1.0017,-0.0127,1.002
0.214000,-0.0076,1.0027,-0.0132,1.003
0.216000,-0.0086,1.0012,-0.0122,1.001
0.218000,-0.0078,1.0017,-0.0134,1.002
0.220000,-0.0066,1.0017,-0.0134,1.002
0.222000,-0.0076,1.0014,-0.0127,1.002
0.224000,-0.0073,1.0012,-0.0161,1.001
0.226000,-0.0081,1.0002,-0.0139,1.000
0.228000,-0.0088,1.0019,-0.0144,1.002
0.230000,-0.0071,1.0027,-0.0142,1.003
0.232000,-0.0076,1.0014,-0.0149,1.002
0.234000,-0.0083,1.0007,-0.0151,1.001
0.245000,-0.0098,0.9997,-0.0139,1.000
0.246000,-0.0081,1.0019,-0.0137,1.002
0.246000,-0.0088,1.0007,-0.0115,1.001
0.247000,-0.0093,1.0014,-0.0125,1.002
0.247000,-0.0086,1.0019,-0.0129,1.002
0.247000,-0.0073,1.0044,-0.0122,1.004
0.248000,-0.0054,1.0039,-0.0125,1.004
0.250000,-0.0064,1.0044,-0.0115,1.004
0.255000,-0.0056,1.0029,-0.0125,1.003
0.257000,-0.0054,1.0036,-0.0137,1.004
0.259000,-0.0056,1.0039,-0.0117,1.004
0.259000,-0.0046,1.0017,-0.0125,1.002
0.261000,-0.0073,1.0010,-0.0139,1.001
0.263000,-0.0076,1.0036,-0.0142,1.004
0.265000,-0.0083,1.0014,-0.0129,1.002
0.266000,-0.0083,1.0000,-0.0122,1.000
0.269000,-0.0095,1.0005,-0.0129,1.001
0.270000,-0.0103,1.0005,-0.0139,1.001
0.280000,-0.0081,0.9992,-0.0129,0.999
0.281000,-0.0083,0.9990,-0.0122,0.999
0.282000,-0.0066,1.0019,-0.0115,1.002
0.283000,-0.0078,1.0010,-0.0129,1.001
0.284000,-0.0083,1.0010,-0.0125,1.001
0.286000,-0.0059,1.0017,-0.0125,1.002
0.287000,-0.0076,1.0014,-0.0117,1.002
0.287000,-0.0068,1.0007,-0.0127,1.001
0.295000,-0.0054,1.0019,-0.0117,1.002
0.297000,-0.0068,1.0014,-0.0137,1.002
0.298000,-0.0071,1.0005,-0.0139,1.001
0.299000,-0.0078,1.0032,-0.0122,1.003
0.300000,-0.0076,1.0029,-0.0122,1.003
0.300000,-0.0076,1.0046,-0.0137,1.005
0.300000,-0.0054,1.0039,-0.0134,1.004
0.303000,-0.0078,1.0012,-0.0149,1.001
0.304000,-0.0056,1.0007,-0.0139,1.001
0.306000,-0.0073,1.0005,-0.0147,1.001
0.308000,-0.0076,1.0010,-0.0142,1.001
0.310000,-0.0095,1.0002,-0.0125,1.000
0.312000,-0.0066,1.0029,-0.0115,1.003
0.314000,-0.0081,1.0027,-0.0132,1.003
0.317000,-0.0064,1.0017,-0.0120,1.002
0.318000,-0.0073,1.0022,-0.0127,1.002
0.321000,-0.0073,1.0012,-0.0120,1.001
0.322000,-0.0056,1.0017,-0.0115,1.002
0.325000,-0.0064,0.9995,-0.0137,1.000
