time,gFx,gFy,gFz,TgF
0.003,0.0198,0.9995,-0.3545,1.004
0.004,0.0222,0.9985,-0.35180000000000006,1.004
0.005,0.0225,0.998,-0.35180000000000006,1.003
0.006,0.0217,0.999,-0.3501,1.004
0.007,0.0166,0.998,-0.3564,1.003
0.009,0.0144,0.9995,-0.3686,1.003
0.011,0.0144,0.999,-0.3713,1.002
0.012,0.02,0.9985,-0.38330000000000003,1.001
0.013,0.0215,0.9975,-0.39310000000000006,0.9990000000000001
0.014,0.0181,0.9966,-0.40040000000000003,0.998
0.015,0.0178,0.9992,-0.40309999999999996,1.001
0.017,0.0173,0.9992,-0.40630000000000005,1.0
0.024,0.0161,0.9983,-0.4077,0.9990000000000001
0.025,0.0161,0.9975,-0.40020000000000006,0.9990000000000001
0.027,0.0159,0.9985,-0.39799999999999996,1.0
0.036,0.0139,0.9995,-0.3894,1.001
0.037,0.0156,0.9973,-0.3642,1.001
0.039,0.0171,0.9963,-0.3535,1.001
0.041,0.0164,0.9985,-0.35080000000000006,1.004
0.043,0.0173,0.9963,-0.34790000000000004,1.002
0.045,0.0215,0.997,-0.34249999999999997,1.003
0.046,0.0205,0.9983,-0.3413,1.004
0.049,0.0232,0.9973,-0.33760000000000007,1.004
0.051,0.0249,0.9968,-0.3393,1.003
0.053,0.0239,0.997,-0.34080000000000005,1.003
0.055,0.0235,0.998,-0.34149999999999997,1.004
0.057,0.021,0.9978,-0.34349999999999997,1.004
0.081,0.021,0.998,-0.34790000000000004,1.003
0.082,0.0178,0.999,-0.35570000000000007,1.004
0.083,0.0095,0.9988,-0.37079999999999996,1.002
0.084,0.0159,0.9995,-0.38889999999999997,1.001
0.085,0.0164,1.0007,-0.38989999999999997,1.003
0.089,0.0115,0.9995,-0.3806,1.002
0.09,0.01,0.9992,-0.37820000000000004,1.002
0.091,0.0112,0.9985,-0.37300000000000005,1.002
0.102,0.0151,0.9975,-0.36690000000000006,1.001
0.103,0.0164,0.997,-0.35910000000000003,1.001
0.104,0.0173,0.998,-0.3584,1.002
0.105,0.0181,0.9988,-0.35690000000000005,1.003
0.106,0.0195,0.997,-0.35280000000000006,1.002
0.108,0.0164,0.9988,-0.3493,1.004
0.121,0.0159,0.998,-0.34980000000000006,1.003
0.122,0.0142,0.9997,-0.3511,1.005
0.123,0.0139,0.9995,-0.3574,1.004
0.124,0.0171,1.0007,-0.36669999999999997,1.004
0.125,0.0166,1.0002,-0.3735,1.003
0.126,0.0156,0.999,-0.38010000000000005,1.002
0.154,0.0144,0.9983,-0.3845,1.001
0.155,0.0139,0.9975,-0.38600000000000007,1.0
0.157,0.0132,0.9973,-0.38789999999999997,0.9990000000000001
0.158,0.0151,0.9978,-0.39210000000000006,1.0
0.159,0.0173,0.9975,-0.3989,0.9990000000000001
0.16,0.0188,0.9973,-0.4009,0.9990000000000001
0.161,0.0191,0.998,-0.40240000000000004,0.9990000000000001
0.162,0.0173,0.9988,-0.4016,1.0
0.163,0.0178,0.9992,-0.3999,1.001
0.164,0.0142,0.9997,-0.3958,1.001
0.168,0.0166,0.9988,-0.3857,1.001
0.169,0.0166,0.9988,-0.3857,1.001
0.17,0.0208,0.997,-0.38400000000000006,0.9990000000000001
0.171,0.0195,0.9988,-0.38130000000000003,1.001
0.172,0.0142,1.0005,-0.3767,1.003
0.173,0.0105,1.0017,-0.3755,1.005
0.174,0.012,1.0024,-0.3716,1.006
0.176,0.0129,0.9985,-0.3694,1.002
0.18,0.0144,0.9995,-0.37110000000000004,1.003
0.181,0.0181,0.9968,-0.3706,1.0
0.183,0.021,0.9961,-0.36910000000000004,1.0
0.184,0.0213,0.9956,-0.37010000000000004,0.9990000000000001
0.185,0.0203,0.9975,-0.37010000000000004,1.001
0.187,0.0191,0.997,-0.3706,1.0
0.19,0.0169,0.9968,-0.37010000000000004,1.0
0.191,0.0151,0.9997,-0.3723,1.003
0.198,0.0142,0.9988,-0.3706,1.002
0.2,0.0173,0.998,-0.36910000000000004,1.001
0.201,0.02,0.9995,-0.37010000000000004,1.003
0.202,0.022,0.9963,-0.3713,1.0
0.204,0.021,0.9975,-0.3723,1.001
0.206,0.0178,0.9985,-0.3735,1.002
0.207,0.0144,0.999,-0.37500000000000006,1.002
0.221,0.0159,0.9997,-0.37279999999999996,1.003
0.222,0.0142,0.9992,-0.37010000000000004,1.003
0.225,0.0154,0.9983,-0.3696,1.002
0.228,0.0169,0.9988,-0.36990000000000006,1.002
0.23,0.0188,0.9975,-0.3686,1.001
0.232,0.0181,0.9983,-0.3706,1.002
0.233,0.02,0.9978,-0.3733,1.001
0.236,0.0183,0.9995,-0.3733,1.003
0.238,0.0188,0.9995,-0.3765,1.002
0.24,0.0176,1.0,-0.37600000000000006,1.003
0.242,0.0166,0.9978,-0.37700000000000006,1.001
0.254,0.0176,0.998,-0.3796,1.001
0.255,0.0164,0.9968,-0.37910000000000005,0.9990000000000001
0.256,0.0169,0.9985,-0.3845,1.001
0.257,0.0149,0.9985,-0.38920000000000005,1.0
0.259,0.0137,1.0,-0.3894,1.002
0.261,0.0132,1.0002,-0.39089999999999997,1.002
0.264,0.0125,0.999,-0.39189999999999997,1.001
0.265,0.0125,0.999,-0.3938,1.001
0.266,0.0173,1.0007,-0.39110000000000006,1.003
0.269,0.0193,0.9995,-0.3897,1.001
0.27,0.02,0.9988,-0.38699999999999996,1.001
0.273,0.0178,0.9973,-0.38230000000000003,1.0
0.276,0.0137,0.998,-0.3733,1.001
0.28,0.0132,0.998,-0.36910000000000004,1.001
0.284,0.0112,0.9985,-0.35980000000000006,1.003
0.285,0.0107,0.9995,-0.3545,1.004
0.287,0.0154,0.9985,-0.34400000000000003,1.004
0.288,0.0195,0.9975,-0.3344,1.004
0.29,0.0198,0.997,-0.3274,1.005
0.3,0.0193,0.9975,-0.3261,1.005
0.303,0.0132,0.9975,-0.33180000000000004,1.005
0.305,0.0166,0.997,-0.34590000000000004,1.003
0.308,0.0173,0.9968,-0.34980000000000006,1.002
0.309,0.0176,0.998,-0.35590000000000005,1.003
0.322,0.0161,0.9963,-0.3645,1.0
0.323,0.0151,0.999,-0.36790000000000006,1.002
0.324,0.0129,0.9992,-0.37910000000000005,1.002
0.326,0.0142,0.9985,-0.3826,1.001
0.328,0.0171,0.9992,-0.3845,1.002
0.329,0.0205,0.9978,-0.38620000000000004,1.0
0.331,0.02,0.9975,-0.3855,1.0
0.332,0.0186,0.998,-0.38310000000000005,1.0
0.333,0.0154,0.9997,-0.38010000000000005,1.002
0.361,0.0134,0.9997,-0.3716,1.003
0.362,0.0139,0.9983,-0.3682,1.002
0.363,0.0161,1.0017,-0.36400000000000005,1.006
0.364,0.0151,0.9997,-0.3564,1.004
0.365,0.0144,0.9997,-0.3533,1.005
0.366,0.0151,0.999,-0.34249999999999997,1.005
0.367,0.0127,0.998,-0.3423,1.004
0.368,0.0151,0.9975,-0.3574,1.002
0.369,0.0137,0.9988,-0.3625,1.003
0.37,0.0142,0.9997,-0.3877,1.002
0.371,0.0142,0.9992,-0.39430000000000004,1.001
0.372,0.0164,0.9973,-0.41340000000000005,0.998
0.373,0.0164,0.9948,-0.42650000000000005,0.995
0.376,0.0147,0.9946,-0.42919999999999997,0.995
0.377,0.0164,0.9983,-0.43050000000000005,0.9990000000000001
0.385,0.0171,1.0046,-0.4307,1.005
0.386,0.0156,1.0061,-0.42950000000000005,1.006
0.387,0.0147,1.0051,-0.4241,1.006
0.388,0.0125,0.9995,-0.4199,1.0
0.389,0.0125,0.9912,-0.41509999999999997,0.992
0.391,0.0164,0.9922,-0.41340000000000005,0.993
0.394,0.0208,1.0014,-0.4109,1.002
0.4,0.0178,1.0066,-0.4087,1.008
0.402,0.02,1.0056,-0.4028,1.0070000000000001
0.403,0.0381,0.989,-0.38330000000000003,0.992
0.405,0.0423,0.9958,-0.3828,0.9990000000000001
0.407,0.0393,1.0017,-0.38230000000000003,1.005
0.409,0.0291,1.0019,-0.37990000000000007,1.005
0.412,0.0325,0.9958,-0.37620000000000003,0.9990000000000001
0.423,0.0291,0.9931,-0.37300000000000005,0.997
0.424,0.0161,1.0071,-0.3735,1.01
0.425,0.0166,0.9953,-0.36380000000000007,0.9990000000000001
0.457,0.0183,0.9944,-0.35910000000000003,0.9990000000000001
0.458,0.0147,0.9968,-0.3364,1.003
0.459,0.0068,1.0027,-0.3041,1.013
0.46,0.0154,0.9897,-0.2555,1.0090000000000001
0.465,0.0115,0.9944,-0.26730000000000004,1.011
0.467,0.0147,0.9968,-0.2932,1.0090000000000001
0.469,0.0171,0.9975,-0.3024,1.0090000000000001
0.471,0.0217,0.9975,-0.3161,1.0070000000000001
0.473,0.0222,0.997,-0.3249,1.005
0.475,0.0203,0.9944,-0.3413,1.0
0.478,0.0156,0.9966,-0.35910000000000003,1.001
0.479,0.0156,0.9985,-0.36889999999999995,1.002
0.481,0.0122,1.0014,-0.39310000000000006,1.003
0.483,0.0139,0.9997,-0.40109999999999996,1.001
0.485,0.0147,1.0007,-0.4217,1.001
0.487,0.0134,0.9978,-0.44050000000000006,0.998
0.489,0.0142,0.9988,-0.45270000000000005,0.9990000000000001
0.491,0.022,1.0044,-0.49180000000000007,1.005
0.493,0.0195,1.0044,-0.5165,1.0070000000000001
0.495,0.0191,1.0019,-0.5243,1.005
0.504,0.0115,1.0017,-0.5614000000000001,1.008
0.505,0.0112,1.0012,-0.5752999999999999,1.0090000000000001
0.506,0.0093,1.0005,-0.5905,1.01
0.507,0.0115,1.0017,-0.6020000000000001,1.013
0.509,0.0259,1.0034,-0.581,1.012
0.513,0.0274,1.0044,-0.5663,1.011
0.514,0.0308,1.0034,-0.5445,1.008
0.516,0.0283,1.0027,-0.5243,1.006
0.518,0.0242,1.0024,-0.5157,1.005
0.519,0.0213,1.001,-0.49200000000000005,1.002
0.521,0.0198,1.0002,-0.47880000000000006,1.001
0.523,0.0159,0.9975,-0.4529,0.998
0.525,0.0142,1.0,-0.4388,1.0
0.527,0.0107,1.0,-0.40140000000000003,1.001
0.539,0.0073,0.9985,-0.3613,1.002
0.54,0.0122,0.9919,-0.2961,1.004
0.541,0.0154,1.0002,-0.2203,1.026
0.543,0.0134,1.0041,-0.1991,1.035
0.546,0.0129,0.9966,-0.183,1.032
0.547,0.0134,0.9934,-0.1764,1.03
0.549,0.0098,0.9907,-0.16999999999999998,1.03
0.551,0.0083,0.9919,-0.16560000000000002,1.032
0.553,0.01,0.9958,-0.16899999999999998,1.035
0.555,0.0115,0.9975,-0.1759,1.035
0.557,0.0112,0.998,-0.18170000000000003,1.034
0.559,0.0117,0.997,-0.1986,1.028
0.57,0.0117,0.9924,-0.2062,1.022
0.571,0.0093,0.9924,-0.2284,1.0170000000000001
0.572,0.0144,0.9973,-0.3315000000000001,1.004
0.573,0.0147,0.9973,-0.3481,1.003
0.576,0.0142,0.9968,-0.39820000000000005,0.998
0.577,0.0142,0.9968,-0.39820000000000005,0.998
0.579,0.0139,0.9995,-0.43050000000000005,1.0
0.581,0.0139,0.9985,-0.45860000000000006,0.9990000000000001
0.583,0.0137,0.9995,-0.47300000000000003,1.0
0.585,0.0176,1.0007,-0.5005999999999999,1.002
0.587,0.0171,1.0002,-0.5125,1.002
0.59,0.0178,1.0,-0.5327999999999999,1.004
0.591,0.0178,1.0014,-0.5487,1.006
0.593,0.0176,1.0012,-0.5541,1.0070000000000001
0.598,0.0176,1.0029,-0.5630999999999999,1.0090000000000001
0.6,0.0178,1.0012,-0.5624,1.008
0.602,0.0169,1.001,-0.5573000000000001,1.0070000000000001
0.603,0.0176,1.0014,-0.5510999999999999,1.0070000000000001
0.605,0.0159,1.0022,-0.5369999999999999,1.006
