time,gFx,gFy,gFz,TgF
0.003000,-0.0151,1.0049,-0.1033,1.010
0.004000,-0.0156,1.0041,-0.0967,1.009
0.004000,-0.0151,1.0024,-0.0911,1.007
0.005000,-0.0147,1.0027,-0.0836,1.006
0.005000,-0.0142,1.0019,-0.0782,1.005
0.006000,-0.0134,1.0017,-0.0689,1.004
0.006000,-0.0132,1.0019,-0.0599,1.004
0.007000,-0.0134,1.0017,-0.0555,1.003
0.007000,-0.0129,1.0005,-0.0432,1.001
0.008000,-0.0134,1.0032,-0.0320,1.004
0.008000,-0.0139,1.0019,-0.0261,1.002
0.009000,-0.0159,1.0024,-0.0127,1.003
0.010000,-0.0156,1.0014,-0.0073,1.002
0.011000,-0.0159,1.0012,0.0007,1.001
0.011000,-0.0181,1.0000,0.0105,1.000
0.019000,-0.0169,1.0005,0.0176,1.001
0.020000,-0.0159,1.0017,0.0244,1.002
0.021000,-0.0176,1.0014,0.0288,1.002
0.022000,-0.0154,1.0014,0.0349,1.002
0.022000,-0.0147,1.0014,0.0408,1.002
0.024000,-0.0154,1.0007,0.0410,1.002
0.025000,-0.0154,1.0034,0.0462,1.005
0.029000,-0.0169,1.0014,0.0501,1.003
0.030000,-0.0171,1.0022,0.0511,1.004
0.032000,-0.0164,1.0007,0.0513,1.002
0.033000,-0.0164,1.0007,0.0513,1.002
0.035000,-0.0171,1.0022,0.0489,1.004
0.037000,-0.0144,1.0014,0.0428,1.002
0.039000,-0.0137,1.0010,0.0403,1.002
0.041000,-0.0166,0.9997,0.0357,1.001
0.057000,-0.0159,1.0014,0.0335,1.002
0.058000,-0.0161,1.0010,0.0249,1.001
0.059000,-0.0169,1.0012,0.0156,1.001
0.059000,-0.0169,1.0005,0.0110,1.001
0.059000,-0.0166,1.0017,0.0007,1.002
0.060000,-0.0173,1.0005,-0.0049,1.001
0.060000,-0.0164,1.0010,-0.0098,1.001
0.061000,-0.0161,1.0010,-0.0198,1.001
0.061000,-0.0142,1.0022,-0.0276,1.003
0.064000,-0.0132,1.0029,-0.0396,1.004
0.065000,-0.0142,1.0039,-0.0494,1.005
0.066000,-0.0125,1.0046,-0.0542,1.006
0.069000,-0.0134,1.0049,-0.0662,1.007
0.071000,-0.0127,1.0029,-0.0694,1.005
0.073000,-0.0129,1.0044,-0.0782,1.007
0.074000,-0.0120,1.0027,-0.0853,1.006
0.076000,-0.0120,1.0036,-0.0875,1.008
0.083000,-0.0134,1.0014,-0.0948,1.006
