time,gFx,gFy,gFz,TgF
0.003000,-0.0059,0.9628,0.3117,1.012
0.004000,-0.0059,0.9628,0.3117,1.012
0.004000,-0.0176,0.9648,0.3152,1.015
0.005000,-0.0315,0.9702,0.3164,1.021
0.006000,-0.0371,0.9685,0.3152,1.019
0.006000,-0.0357,0.9624,0.3122,1.012
0.007000,-0.0244,0.9628,0.3113,1.012
0.007000,-0.0186,0.9660,0.3081,1.014
0.008000,-0.0127,0.9677,0.2988,1.013
0.010000,-0.0127,0.9643,0.2934,1.008
0.011000,-0.0215,0.9646,0.2817,1.005
0.012000,-0.0301,0.9655,0.2670,1.002
0.012000,-0.0320,0.9670,0.2597,1.002
0.013000,-0.0315,0.9685,0.2465,1.000
0.013000,-0.0266,0.9670,0.2428,0.997
0.014000,-0.0210,0.9672,0.2297,0.994
0.014000,-0.0186,0.9677,0.2184,0.992
0.014000,-0.0198,0.9680,0.2116,0.991
0.015000,-0.0242,0.9694,0.2003,0.990
0.021000,-0.0264,0.9689,0.1967,0.989
0.021000,-0.0296,0.9672,0.1869,0.986
0.022000,-0.0269,0.9682,0.1842,0.986
0.024000,-0.0244,0.9694,0.1847,0.987
0.025000,-0.0220,0.9719,0.1823,0.989
0.028000,-0.0210,0.9711,0.1852,0.989
0.029000,-0.0227,0.9714,0.1859,0.989
0.031000,-0.0257,0.9711,0.1913,0.990
0.033000,-0.0264,0.9719,0.1969,0.992
0.035000,-0.0276,0.9721,0.2045,0.994
0.037000,-0.0271,0.9707,0.2150,0.995
0.040000,-0.0259,0.9687,0.2260,0.995
0.041000,-0.0269,0.9697,0.2336,0.998
0.055000,-0.0264,0.9692,0.2385,0.998
0.056000,-0.0288,0.9685,0.2485,1.000
0.056000,-0.0330,0.9692,0.2612,1.004
0.056000,-0.0322,0.9680,0.2663,1.004
0.057000,-0.0320,0.9667,0.2756,1.006
0.057000,-0.0315,0.9692,0.2863,1.011
0.057000,-0.0310,0.9677,0.2893,1.011
0.057000,-0.0305,0.9699,0.2949,1.014
0.059000,-0.0305,0.9680,0.2971,1.013
0.061000,-0.0310,0.9665,0.3020,1.013
0.063000,-0.0322,0.9680,0.3022,1.015
0.065000,-0.0322,0.9677,0.3012,1.014
0.067000,-0.0305,0.9665,0.2993,1.012
0.069000,-0.0281,0.9655,0.2973,1.011
0.071000,-0.0279,0.9665,0.2907,1.010
0.073000,-0.0264,0.9655,0.2827,1.006
0.075000,-0.0264,0.9655,0.2793,1.005
0.094000,-0.0276,0.9658,0.2678,1.003
0.095000,-0.0276,0.9663,0.2568,1.000
0.095000,-0.0271,0.9672,0.2521,1.000
0.095000,-0.0274,0.9687,0.2399,0.998
0.096000,-0.0281,0.9689,0.2365,0.998
0.096000,-0.0271,0.9675,0.2270,0.994
0.096000,-0.0279,0.9689,0.2184,0.994
0.097000,-0.0279,0.9685,0.2128,0.992
0.097000,-0.0274,0.9697,0.2055,0.992
0.097000,-0.0288,0.9675,0.2030,0.989
0.097000,-0.0296,0.9682,0.1996,0.989
0.103000,-0.0269,0.9672,0.1981,0.988
0.104000,-0.0269,0.9672,0.1981,0.988
0.105000,-0.0276,0.9675,0.1981,0.988
0.106000,-0.0281,0.9694,0.1994,0.990
0.107000,-0.0281,0.9697,0.2020,0.991
0.116000,-0.0276,0.9682,0.2072,0.991
0.116000,-0.0288,0.9694,0.2108,0.993
